Merk;Type;Omschrijving;Component code;prijs verkoop;Artikelnummer Eriks;Artikelnummer TU;Co2 eq kg;Gewicht [kg];Gietijzer;Metalen;Fossiele materialen;Aluminium;Staal;RVS;Koper;Brons;Keramiek;Rubber;polymeren en compositen;Injectie gevormde magneet;elektra;
Siemens;QAE2120.010;Temperatuur transmitter (luxe);TT01-LX; € 141,20 ;n.v.t.;8915142;5;0,1;0,00%;65,00%;0,00%;0,00%;0,00%;0,00%;10,00%;0,00%;0,00%;0,00%;20,00%;0,00%;5,00%;
Siemens;QAE2120.010;Temperatuur transmitter (alternatief);TT01-AL; € 141,20 ;n.v.t.;8915142;5;0,1;0,00%;65,00%;0,00%;0,00%;0,00%;0,00%;10,00%;0,00%;0,00%;0,00%;20,00%;0,00%;5,00%;
Eriks;"schroefdraad 1/2"" - fig 450";Vul en aftapkraan (standaard);VA01-ST; € 135,00 ;11811285;n.v.t;4,33;0,15;0,00%;20,00%;0,00%;0,00%;0,00%;0,00%;0,00%;75,00%;0,00%;0,00%;5,00%;0,00%;0,00%;
Eriks;"schroefdraad 1/2"" - fig 450";Vul en aftapkraan (luxe);VA01-LX; € 135,00 ;11811285;n.v.t;4,33;0,15;0,00%;20,00%;0,00%;0,00%;0,00%;0,00%;0,00%;75,00%;0,00%;0,00%;5,00%;0,00%;0,00%;
oventropp;"schroefdraad 1/2"" type 447";Vul en aftapkraan (alternatief);VA01-AL; € 110,08 ;n.v.t.;6614002;5,2;0,16;0,00%;95,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%;
Geberit;Flowfit DN15 (20mm);Geberit flowfit buis;FF15; € 40,00 ;n.v.t.;n.v.t.;11,95;0,164;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Geberit;Flowfit DN20 (25mm);Geberit flowfit buis;FF20; € 40,00 ;n.v.t.;n.v.t.;11,95;0,236;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Geberit;Flowfit DN25 (32mm);Geberit flowfit buis;FF25; € 45,00 ;n.v.t.;n.v.t.;11,95;0,328;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Geberit;Flowfit DN32 (40mm);Geberit flowfit buis;FF32; € 50,00 ;n.v.t.;n.v.t.;11,95;0,458;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Geberit;Flowfit DN40 (50mm);Geberit flowfit buis;FF40; € 60,00 ;n.v.t.;n.v.t.;11,95;0,707;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Geberit;Flowfit DN50 (63mm);Geberit flowfit buis;FF50; € 75,00 ;n.v.t.;n.v.t.;11,95;0,996;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Geberit;Flowfit DN65 (75mm);Geberit flowfit buis;FF65; € 100,00 ;n.v.t.;n.v.t.;11,95;1,465;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN15;Stalen buis;S15; € 70,00 ;n.v.t.;n.v.t.;1,92;1,22;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN20;Stalen buis;S20; € 75,00 ;n.v.t.;n.v.t.;1,92;1,57;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN25;Stalen buis;S25; € 85,00 ;n.v.t.;n.v.t.;1,92;2,43;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN32;Stalen buis;S32; € 90,00 ;n.v.t.;n.v.t.;1,92;3,13;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN40;Stalen buis;S40; € 100,00 ;n.v.t.;n.v.t.;1,92;3,6;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN50;Stalen buis;S50; € 105,00 ;n.v.t.;n.v.t.;1,92;5,1;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN65;Stalen buis;S65; € 120,00 ;n.v.t.;n.v.t.;1,92;6,54;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Van Leeuwen;Stalen buis DN80;Stalen buis;S80; € 130,00 ;n.v.t.;n.v.t.;1,92;8,53;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
;;;;;;;;;;;;;;;;;;;;;;
